 # p_occup         n= 7          n= 9          n=11          n=13 
  0.000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000
  0.396745  0.0000000000  0.0000000000  0.0000000000  0.0000000000
  0.426711  0.0002000000  0.0000000000  0.0000000000  0.0000000000
  0.441819  0.0011000000  0.0000000000  0.0000000000  0.0000000000
  0.452030  0.0016000000  0.0000000000  0.0000000000  0.0000000000
  0.459769  0.0027000000  0.0000000000  0.0000000000  0.0000000000
  0.466013  0.0038000000  0.0000000000  0.0000000000  0.0000000000
  0.471254  0.0051000000  0.0000000000  0.0000000000  0.0000000000
  0.475775  0.0064000000  0.0000000000  0.0000000000  0.0000000000
  0.479755  0.0104000000  0.0000000000  0.0000000000  0.0000000000
  0.483312  0.0110000000  0.0001000000  0.0000000000  0.0000000000
  0.486531  0.0111000000  0.0000000000  0.0000000000  0.0000000000
  0.489472  0.0181000000  0.0000000000  0.0000000000  0.0000000000
  0.492182  0.0185000000  0.0000000000  0.0000000000  0.0000000000
  0.494696  0.0217000000  0.0000000000  0.0000000000  0.0000000000
  0.497042  0.0248000000  0.0001000000  0.0000000000  0.0000000000
  0.499241  0.0287000000  0.0001000000  0.0000000000  0.0000000000
  0.501313  0.0331000000  0.0004000000  0.0000000000  0.0000000000
  0.503273  0.0316000000  0.0001000000  0.0000000000  0.0000000000
  0.505132  0.0361000000  0.0001000000  0.0000000000  0.0000000000
  0.506901  0.0401000000  0.0001000000  0.0000000000  0.0000000000
  0.508590  0.0404000000  0.0008000000  0.0000000000  0.0000000000
  0.510206  0.0449000000  0.0010000000  0.0000000000  0.0000000000
  0.511756  0.0491000000  0.0010000000  0.0000000000  0.0000000000
  0.513245  0.0565000000  0.0009000000  0.0000000000  0.0000000000
  0.514678  0.0561000000  0.0012000000  0.0000000000  0.0000000000
  0.516061  0.0615000000  0.0011000000  0.0000000000  0.0000000000
  0.517397  0.0663000000  0.0020000000  0.0000000000  0.0000000000
  0.518689  0.0659000000  0.0017000000  0.0000000000  0.0000000000
  0.519941  0.0696000000  0.0028000000  0.0000000000  0.0000000000
  0.521155  0.0733000000  0.0013000000  0.0000000000  0.0000000000
  0.522335  0.0778000000  0.0035000000  0.0000000000  0.0000000000
  0.523481  0.0790000000  0.0052000000  0.0000000000  0.0000000000
  0.524598  0.0857000000  0.0039000000  0.0000000000  0.0000000000
  0.525685  0.0842000000  0.0056000000  0.0000000000  0.0000000000
